epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,7674.21,1.43739,1.06688,1.37393,0.8849,0.81126,0.88192,0.55342,1.27884,0.81777,1.36887,0.00523,0.00523,0.00523
108,7745.67,1.44881,1.0822,1.38634,0.8845,0.8098,0.88135,0.55245,1.27614,0.81339,1.3685,0.005185,0.005185,0.005185
109,7815.74,1.44235,1.08752,1.38317,0.88609,0.80623,0.88143,0.551,1.27393,0.81469,1.36396,0.00514,0.00514,0.00514
110,7886.02,1.44007,1.08877,1.38298,0.89098,0.80504,0.88103,0.55041,1.27949,0.81532,1.36655,0.005095,0.005095,0.005095
111,7956.16,1.43782,1.08194,1.38216,0.87987,0.81288,0.88302,0.55256,1.27374,0.81051,1.36494,0.00505,0.00505,0.00505
112,8026.68,1.44044,1.0756,1.36981,0.87668,0.81831,0.88147,0.5517,1.27623,0.81001,1.3637,0.005005,0.005005,0.005005
113,8096.95,1.43727,1.06848,1.37271,0.88104,0.81075,0.88148,0.55235,1.27435,0.80944,1.36274,0.00496,0.00496,0.00496
114,8167.61,1.43624,1.0735,1.3743,0.88738,0.80383,0.88476,0.55405,1.27292,0.80784,1.36336,0.004915,0.004915,0.004915
115,8239.44,1.43539,1.06703,1.38084,0.87955,0.81205,0.88551,0.55791,1.27181,0.80984,1.36276,0.00487,0.00487,0.00487
116,8310.72,1.44086,1.07781,1.37385,0.88135,0.81256,0.88402,0.5554,1.27062,0.80679,1.36059,0.004825,0.004825,0.004825
117,8382.34,1.43272,1.06306,1.37377,0.8867,0.80968,0.88197,0.55524,1.2699,0.80828,1.36103,0.00478,0.00478,0.00478
118,8454.2,1.42661,1.05674,1.37079,0.88455,0.8099,0.88295,0.55618,1.26843,0.80357,1.36016,0.004735,0.004735,0.004735
119,8527.2,1.43135,1.05878,1.36871,0.88093,0.81384,0.88374,0.55681,1.26704,0.80169,1.357,0.00469,0.00469,0.00469
120,8599.6,1.43022,1.05242,1.36297,0.87819,0.81165,0.8823,0.55691,1.26615,0.80169,1.35835,0.004645,0.004645,0.004645
121,8671.16,1.43012,1.06637,1.37295,0.87238,0.8118,0.88186,0.55718,1.2694,0.8055,1.36047,0.0046,0.0046,0.0046
122,8742.94,1.4373,1.05839,1.37147,0.88045,0.81198,0.88445,0.55821,1.26718,0.79886,1.35831,0.004555,0.004555,0.004555
123,8814.41,1.43764,1.06842,1.37109,0.89,0.80408,0.88304,0.55911,1.26601,0.79896,1.35528,0.00451,0.00451,0.00451
124,8885.6,1.42006,1.05188,1.36849,0.88048,0.81283,0.88402,0.5597,1.26415,0.79807,1.3543,0.004465,0.004465,0.004465
125,8957.09,1.42239,1.0466,1.36279,0.87775,0.81835,0.88674,0.5606,1.2628,0.79159,1.35193,0.00442,0.00442,0.00442
126,9028.65,1.42771,1.05864,1.36775,0.88308,0.82184,0.88592,0.56023,1.26435,0.79237,1.35314,0.004375,0.004375,0.004375
127,9100.21,1.41705,1.03945,1.36274,0.88383,0.82013,0.88575,0.56027,1.26372,0.78964,1.35227,0.00433,0.00433,0.00433
128,9174.57,1.41912,1.04702,1.36365,0.88424,0.81792,0.88748,0.56009,1.26327,0.79433,1.35277,0.004285,0.004285,0.004285
129,9247.99,1.42467,1.04866,1.36624,0.87617,0.82064,0.88517,0.5576,1.2645,0.78899,1.35502,0.00424,0.00424,0.00424
130,9322.97,1.42856,1.04865,1.35584,0.88385,0.8159,0.88554,0.56015,1.26149,0.79043,1.35279,0.004195,0.004195,0.004195
131,9397.26,1.41682,1.03584,1.35652,0.87968,0.81999,0.88713,0.561,1.25863,0.78676,1.34983,0.00415,0.00415,0.00415
132,9469.07,1.41824,1.03774,1.35497,0.87576,0.82226,0.88811,0.56107,1.25906,0.78615,1.34899,0.004105,0.004105,0.004105
133,9540.41,1.41654,1.04402,1.3603,0.88697,0.81372,0.88748,0.55954,1.25916,0.78691,1.34984,0.00406,0.00406,0.00406
